Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
SRX14953909	28403644.0	48851756	99.03273633895769	100	87.18	49.0	1.1935803013292756	32582049.0	74.96728643431848	92.49047143815348	20.0
SRX14953910	21126068.0	35145872	98.92426940866035	100	64.01	50.0	0.6727434388311826	33003334.0	53.245941758490225	91.33835785845247	20.0
SRX14953911	25724670.0	44709576	99.01200453589807	100	83.57	49.0	0.8905171401206394	30781115.0	72.62501049750797	91.14522203248265	20.0
SRX14953912	6718066.0	10369224	99.10481943806515	100	21.37	53.0	0.8063678214088725	31438520.0	16.49127248992637	93.35275396656606	30.0
SRX14953913	28269455.0	46661107	98.92364226480868	100	80.23	48.0	0.7827706938178478	35236142.0	66.21199761313255	91.20508770680529	20.0
SRX14953914	5307443.0	7488938	99.02653265906616	100	18.55	53.0	0.6692732744284385	28610815.0	13.087599916325349	93.1072735718425	20.0
SRX14953915	5890784.0	8623423	99.11707082818062	100	20.54	53.0	0.7974440001416586	28674180.0	15.036912999778895	93.00498029750588	30.0
SRX14953916	15095763.0	23216920	99.00758279088203	100	45.63	51.0	0.9824972904360655	33080696.0	35.09134148809928	91.178007910211	30.0
SRX14953917	27324686.0	46870374	98.94641448495696	100	82.06	49.0	0.7291723655825035	33298159.0	70.37982790580104	91.3731068544761	20.0
SRX14953918	32151292.0	56638519	98.96986697448556	100	90.26	49.0	3.703361271890909	35621813.0	79.49977026716748	92.81234627188581	20.0
SRX14953919	11608224.0	18517968	99.07182058424398	100	31.89	52.0	0.9614355279022108	36402600.0	25.434952448451487	94.16372033208228	20.0
SRX14953920	6983140.0	10462688	99.04046885911517	100	20.67	53.0	0.7283248415663299	33783112.0	15.485086157841232	94.86562865423214	20.0
SRX14953921	15316389.0	25040447	99.09125655431504	100	43.51	51.0	1.070888321941482	35199521.0	35.569300786791956	93.54316485231095	30.0
